Marca;Producto;Peso (Ml);;Costo;Precio;Sexo;Tipo;Tester;Estuche
Armaf;The Pride Of Armaf Pour Homme;100;;209.666;733.831;Hombre;EDP;;
Armaf;The Warrior;100;;209.666;733.831;Hombre;EDT;;
Armaf;Tres Nuit;100;;167.716;587.006;Hombre;EDT;;
Armaf;Ventana Pour Homme;100;;192.886;675.101;Hombre;EDP;;
Armaf;Armaf Legaci Mujer;100;;209.666;733.831;Mujer;EDP;;
Armaf;Club De Nuit Intense Woman;105;;201.276;704.466;Mujer;EDP;;
Armaf;Club De Nuit Women;105;;201.276;704.466;Mujer;EDP;;
Armaf;Hunter For Women;100;;167.716;587.006;Mujer;EDP;;
Armaf;La Rosa;100;;209.666;733.831;Mujer;EDP;;
Armaf;Le Femme;100;;209.666;733.831;Mujer;EDP;;
Armaf;Momento Fleur;100;;201.276;704.466;Mujer;EDP;;
Armaf;Studio;80;;209.666;733.831;Mujer;EDP;;
Armaf;Tag Her;100;;167.716;587.006;Mujer;EDP;;
Armaf;The Pride of Armaf Pour Femme;100;;209.666;733.831;Mujer;EDP;;
Armaf;Tres Jour;100;;209.666;733.831;Mujer;EDP;;
Armaf;Venice;100;;167.716;587.006;Mujer;EDP;;
Armaf;Club De Nuit Milestone;105;;268.396;939.386;Unisex;EDP;;
Armani;Acqua Di Gio;50;;385.856;1.350.496;Hombre;EDT;;
Armani;Acqua Di Gio Absolu;125;;629.166;2.202.081;Hombre;EDP;;
Armani;Acqua Di Gio Absolu;200;;713.066;2.495.731;Hombre;EDP;;
Armani;Acqua Di Gio Absolu;40;;251.616;880.656;Hombre;EDP;;
Armani;Acqua Di Gio Absolu;75;;520.096;1.820.336;Hombre;EDP;;
Armani;Acqua Di Gio Absolu Estuche + Gel de Ducha;75;;461.366;1.614.781;Hombre;EDP;;Estuche
Armani;Acqua Di Gio;100;;553.656;1.937.796;Hombre;EDT;;
Armani;Acqua Di Gio;200;;721.456;2.525.096;Hombre;EDT;;
Armani;Acqua Di Gio Profondo;125;;696.286;2.437.001;Hombre;EDP;;
Armani;Acqua Di Gio Profondo;75;;562.046;1.967.161;Hombre;EDP;;
Armani;Acqua Di Gio Profondo;75;;536.876;1.879.066;Hombre;EDP;Tester;
