Código De Barras;Marca;Producto;Peso (Ml);Costo;Precio;Sexo;Tipo;;;
;Agatha Ruiz De La Prada;Sexy Florever;80;111.844;391.454;Mujer;Edt;;12.990;
;Agatha Ruiz De La Prada;Wow Girl Cosmic Edt 80ml;80;107.539;376.386;Mujer;Edt;;12.490;
;Agatha Ruiz De La Prada;Wow Girl Estuche + Locion;80 + 75;120.454;421.589;Mujer;Edt;Estuche;13.990;
;Agatha Ruiz De La Prada;Wow Girl Tester;80;94.624;331.184;Mujer;Edt;Tester;10.990;
;Agatha Ruiz De La Prada;Wow Girl;30;38.659;135.306;Mujer;Edt;;4.490;
;Agatha Ruiz De La Prada;Wow Girl;80;111.844;391.454;Mujer;Edt;;12.990;
;Alta Moda;Sweet Dreams;100;240.000;240.000;Femenino;;;;
;Ambercrombie & Fitch;Authentic Homme Tester;100;189.334;662.669;Hombre;Edt;;21.990;
;Ambercrombie & Fitch;Authentic Homme;100;210.859;738.006;Hombre;Edt;;24.490;
;Ambercrombie & Fitch;Authentic Woman Tester;100;180.724;632.534;Mujer;Edp;;20.990;
;Ambercrombie & Fitch;Authentic Woman;100;210.859;738.006;Mujer;Edp;;24.490;
;Ambercrombie & Fitch;First Instinct Woman;100;206.554;722.939;Mujer;Edp;;23.990;
