NOMBRE,LONG_KM_EN,RUTA_NRO,ANCHO,TIPO,LONG_MTS
,3,,8,1,2523
1° DE MAYO,0,,8,1,354
PADRE FIDEL MAÍZ,1,,8,1,1289
,1,,8,1,1414
GOBERNADOR IRALA,0,,8,1,198
R I 6 BOQUERÓN,1,,8,1,727
CERRITO,1,,8,1,705
,1,,8,1,1321
TENIENTE FARIÑA,1,,0,1,1211
AVENIDA CAAGUAZÚ,3,,0,1,3106
AVENIDA GENERAL PRATT GILL,4,,0,1,3680
AVENIDA 1° DE MAYO,2,,0,1,2278
CIRCUNVALACIÓN QUIINDY,4,,12,1,3918
CIRCUNVALACIÓN CARAPEGUÁ,5,,12,1,4751
RAMAL RUTA 3 – CHORÉ,18,,12,1,18191
PRESIDENTE GONZALEZ,2,,8,1,2175
JAPÓN,7,,8,1,6937
MARISCAL JOSÉ FÉLIX ESTIGARRIBIA,2,2,12,1,2348
ACCESO A NUEVA LONDRES,8,,12,1,8437
ACCESO A YATAITY,4,,12,1,3636
GENERAL ELIZARDO AQUINO,19,3,12,1,19072
RUTA PROYECTO 1418,39,,12,1,39133
RUTA A DOMINGO MARTÍNEZ DE IRALA,20,,12,3,19869
EL PARAGUAYO INDEPENDIENTE,1,,12,1,875
RUTA CONCEPCIÓN - VALLEMÍ,180,,12,1,180152
RAMAL TUPARENDÁ - SAN CRISTÓBAL,13,,8,2,12783
RAMAL TUNA – TUPARENDÁ,16,,8,2,16400
RAMAL SAN JUAN NEPOMUCENO – ABAÍ,8,,12,1,7838
RUTA VILLETA - ALBERDI,66,,12,3,65820
RAMAL RUTA GRANEROS DEL SUR - ALTO VERÁ,11,,12,1,10587
CALLE B (ACCESO A AEROPUERTO),2,,12,1,2230
NUEVA ALBORADA - VILLA ALBORADA,5,,8,1,5427
RAMAL RUTA 6 - NUEVA ALBORADA,14,,8,1,14382
CAMINO A ITACUÁ,12,,8,1,11999
RUTA 14 (CAMBYRETÃ - NUEVA ALBORADA),14,,12,1,14228
RUTA 14 (ENCARNACIÓN - CAMBYRETÃ),11,,12,1,10662
ACCESO AL PUENTE INTERNACIONAL SAN ROQUE GONZÁLEZ,1,,12,1,1233
ACCESO A SAN JUAN DEL PARANÁ,4,,12,1,3866
CALLE B,14,,8,2,13649
CALLE J,9,,8,2,9332
ACCESO A PUERTO TROCIUK,6,,8,1,6462
ACCESO A URU SAPUCAI,22,,8,2,21736
RAMAL RUTA 6 - JESÚS,11,,12,1,11101
AVENIDA PARAGUAY – JAPÓN,7,,12,2,6832
RAMAL RUTA PROYECTO 1418 - PUERTO CAPITÁN MEZA,18,,12,1,18391
RAMAL RUTA 6 – CAPITÁN MEZA,9,,8,2,9035
RAMAL RUTA 6 - EDELIRA,10,,12,1,9640
RAMAL NATALIO - PUERTO TRIUNFO,13,,12,1,12840
RUTA PROYECTO 1418,8,,12,2,8159
ACCESO A PUERTO DON JOAQUÍN,2,,8,1,2471
RUTA SAN IGNACIO - YABEBYRY,62,,12,2,62436
RUTA PASO DE PATRIA - AYOLAS,8,,12,1,7700
RAMAL SAN MIGUEL – ARASAPÉ,18,,8,2,17871
RAMAL ISLA UMBÚ - GENERAL DÍAZ,27,,12,1,26998
RAMAL PILAR - ISLA UMBÚ,13,4,12,1,12743
RAMAL PASO DE PATRIA - GENERAL DÍAZ,19,,12,3,18882
RUTA CAAPUCÚ - QUYQUYHÓ,29,,12,2,29497
RAMAL RUTA 8 - SAN SALVADOR - BORJA,14,,12,1,14328
RAMAL BORJA – TEBICUARYMÍ,27,,12,1,27048
ACCESO A VALLE PE,2,,12,1,1766
RAMAL ITAPÉ - BORJA,16,,8,2,16302
RAMAL - ITAPÉ - CORONEL MARTINEZ,13,,8,2,12843
RAMAL VILLARRICA -LOMA HOVY – ITAPÉ,20,,8,2,19652
ACCESO A MELGAREJO,5,,12,1,4975
RAMAL PLANTA URBANA - CARLOS PFANNL,7,,8,2,6864
RAMAL CARAYAO - JUAN DE MENA,14,,8,2,14211
RAMAL CARAYAO - JUAN DE MENA,15,,8,2,15203
RAMAL RUTA 7 - RI 3 CORRALES,17,,12,1,17222
RAMAL RUTA 8 - RI 3 CORRALES,21,,12,1,21374
RAMAL RUTA 7 - 8VA LINEA WALTER INSFRÁN,7,,8,2,7451
ACCESO A DR. JUAN MANUEL FRUTOS,4,,12,1,3720
RAMAL DR. JUAN MANUEL FRUTOS - 3 DE FEBRERO,18,,12,2,17586
,5,,8,2,4699
RUTA J EULOGIO ESTIGARRIBIA - RAÚL ARSENIO OVIEDO,33,,12,3,32592
RUTA RAÚL ARSENIO OVIEDO - NUEVA TOLEDO,33,,12,2,32627
ACCESO A SANTA ROSA DEL MBUTUY,1,,12,1,1401
RUTA A MARISCAL FRANCISCO SOLANO LÓPEZ,18,,12,2,17727
RUTA A MARISCAL FRANCISCO SOLANO LÓPEZ,17,,12,3,16959
RAMAL CORONEL OVIEDO - LA PASTORA,27,,8,2,26930
RAMAL SUPERCARRETERA - SANTA FE DEL PARANÁ,8,,12,1,7910
RUTA SANTA FE DEL PARANÁ - MBARACAYÚ,27,,12,1,26782
RUTA SAN ALBERTO - MBARACAYÚ,12,,12,1,12052
RAMAL MBARACAYÚ - PUERTO INDIO,44,,12,3,44253
RAMAL CRUCE ITAKYRY – MBARACAYÚ,16,,12,3,16370
RAMAL SUPERCARRETERA - SAN FRANCISCO GLEVA 8,8,,8,2,8024
RAMAL RUTA 10 - CORPUS CHRISTI - PINDOTY PORÃ,41,,12,1,41181
ACCESO A VILLA PARQUE ITAIPÚ,10,,12,1,9626
RAMAL AL AEROPUERTO,7,,12,1,6621
