"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","CLAVE_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","CLAVE_y","longitude","latitude"
"04","GUAIRÁ","18","TEBICUARY","0418","POINT (-6306332.697705057 -2970891.3255528165)","04","GUAIRÁ","18","TEBICUARY","0418","-6306332.697705057","-2970891.3255528165"
"05","CAAGUAZÚ","01","CORONEL OVIEDO","0501","POINT (-6283275.543044643 -2931057.9427975137)","05","CAAGUAZÚ","01","CORONEL OVIEDO","0501","-6283275.543044643","-2931057.9427975137"
"05","CAAGUAZÚ","02","CAAGUAZÚ","0502","POINT (-6235046.475802487 -2934053.764465129)","05","CAAGUAZÚ","02","CAAGUAZÚ","0502","-6235046.475802487","-2934053.764465129"
"05","CAAGUAZÚ","03","CARAYAÓ","0503","POINT (-6278551.411373912 -2900361.9469991755)","05","CAAGUAZÚ","03","CARAYAÓ","0503","-6278551.411373912","-2900361.9469991755"
"05","CAAGUAZÚ","04","DR. CECILIO BÁEZ","0504","POINT (-6261008.913194709 -2884130.9962041657)","05","CAAGUAZÚ","04","DR. CECILIO BÁEZ","0504","-6261008.913194709","-2884130.9962041657"
"05","CAAGUAZÚ","05","SANTA ROSA DEL MBUTUY","0505","POINT (-6262241.553981233 -2873101.7106907973)","05","CAAGUAZÚ","05","SANTA ROSA DEL MBUTUY","0505","-6262241.553981233","-2873101.7106907973"
"05","CAAGUAZÚ","06","DR. JUAN MANUEL FRUTOS","0506","POINT (-6215349.6002560975 -2922863.663987815)","05","CAAGUAZÚ","06","DR. JUAN MANUEL FRUTOS","0506","-6215349.6002560975","-2922863.663987815"
"05","CAAGUAZÚ","07","REPATRIACIÓN","0507","POINT (-6233298.967095639 -2941105.3343727053)","05","CAAGUAZÚ","07","REPATRIACIÓN","0507","-6233298.967095639","-2941105.3343727053"
"05","CAAGUAZÚ","08","NUEVA LONDRES","0508","POINT (-6295033.686900531 -2925736.042536679)","05","CAAGUAZÚ","08","NUEVA LONDRES","0508","-6295033.686900531","-2925736.042536679"
"05","CAAGUAZÚ","09","SAN JOAQUÍN","0509","POINT (-6238933.145461877 -2879102.838488996)","05","CAAGUAZÚ","09","SAN JOAQUÍN","0509","-6238933.145461877","-2879102.838488996"
"05","CAAGUAZÚ","10","SAN JOSÉ DE LOS ARROYOS","0510","POINT (-6315359.604314438 -2942338.2034704275)","05","CAAGUAZÚ","10","SAN JOSÉ DE LOS ARROYOS","0510","-6315359.604314438","-2942338.2034704275"
"05","CAAGUAZÚ","11","YHÚ","0511","POINT (-6225081.588055897 -2882739.89395699)","05","CAAGUAZÚ","11","YHÚ","0511","-6225081.588055897","-2882739.89395699"
"05","CAAGUAZÚ","12","DR. J. EULOGIO ESTIGARRIBIA","0512","POINT (-6201384.221954811 -2921563.7103031785)","05","CAAGUAZÚ","12","DR. J. EULOGIO ESTIGARRIBIA","0512","-6201384.221954811","-2921563.7103031785"
"05","CAAGUAZÚ","13","R.I. 3 CORRALES","0513","POINT (-6255529.491495005 -2917946.1695649414)","05","CAAGUAZÚ","13","R.I. 3 CORRALES","0513","-6255529.491495005","-2917946.1695649414"
"05","CAAGUAZÚ","14","RAÚL ARSENIO OVIEDO","0514","POINT (-6190164.62152881 -2899710.8501456073)","05","CAAGUAZÚ","14","RAÚL ARSENIO OVIEDO","0514","-6190164.62152881","-2899710.8501456073"
"05","CAAGUAZÚ","15","JOSÉ DOMINGO OCAMPOS","0515","POINT (-6170265.720529345 -2926439.7494892892)","05","CAAGUAZÚ","15","JOSÉ DOMINGO OCAMPOS","0515","-6170265.720529345","-2926439.7494892892"
"05","CAAGUAZÚ","16","MARISCAL FRANCISCO SOLANO LÓPEZ","0516","POINT (-6130969.013524652 -2905115.873734146)","05","CAAGUAZÚ","16","MARISCAL FRANCISCO SOLANO LÓPEZ","0516","-6130969.013524652","-2905115.873734146"
"05","CAAGUAZÚ","17","LA PASTORA","0517","POINT (-6293755.281966823 -2906087.7173673427)","05","CAAGUAZÚ","17","LA PASTORA","0517","-6293755.281966823","-2906087.7173673427"
"05","CAAGUAZÚ","18","3 DE FEBRERO","0518","POINT (-6209282.114624447 -2906216.7872983036)","05","CAAGUAZÚ","18","3 DE FEBRERO","0518","-6209282.114624447","-2906216.7872983036"
"05","CAAGUAZÚ","19","SIMÓN BOLÍVAR","0519","POINT (-6270286.375915441 -2882238.8947336534)","05","CAAGUAZÚ","19","SIMÓN BOLÍVAR","0519","-6270286.375915441","-2882238.8947336534"
