"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","NOMBRE_x","LONGITUD_x","LATITUD_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","NOMBRE_y","LONGITUD_y","LATITUD_y","longitude","latitude"
"14","CANINDEYU","01","SALTO DEL GUAIRA","PUESTO POLICIAL N° 1 KM 7","-54.38435","-24.0939","POINT (-6054038.0718570575 -2764854.798620867)","14","CANINDEYU","01","SALTO DEL GUAIRA","PUESTO POLICIAL N° 1 KM 7","-54.38435","-24.0939","-6054038.0718570575","-2764854.798620867"
"14","CANINDEYU","01","SALTO DEL GUAIRA","COMISARIA 1RA CANINDEYU","-54.35653","-24.03974","POINT (-6050941.549355099 -2758251.20240885)","14","CANINDEYU","01","SALTO DEL GUAIRA","COMISARIA 1RA CANINDEYU","-54.35653","-24.03974","-6050941.549355099","-2758251.20240885"
"01","CONCEPCION","01","CONCEPCION","COMISARIA 18 ROBERTO L PETIT","-57.41712","-23.19818","POINT (-6391644.3648750875 -2656002.331538641)","01","CONCEPCION","01","CONCEPCION","COMISARIA 18 ROBERTO L PETIT","-57.41712","-23.19818","-6391644.3648750875","-2656002.331538641"
"00","ASUNCION","00","ASUNCION","COMISARIA 10MA METROPOLITANA","-57.55546","-25.27818","POINT (-6407044.681694597 -2909951.2457165862)","00","ASUNCION","00","ASUNCION","COMISARIA 10MA METROPOLITANA","-57.55546","-25.27818","-6407044.681694597","-2909951.2457165862"
"09","PARAGUARI","09","PIRAYU","SUB COMISARIA N° 7 TUYUCUA TAVAI","-57.27033","-25.45755","POINT (-6375304.043230563 -2932049.6318636676)","09","PARAGUARI","09","PIRAYU","SUB COMISARIA N° 7 TUYUCUA TAVAI","-57.27033","-25.45755","-6375304.043230563","-2932049.6318636676"
"11","CENTRAL","05","ITA","COMISARIA 43 HUGUA ÑARO","-57.41699","-25.51079","POINT (-6391629.804176557 -2938614.8421172495)","11","CENTRAL","05","ITA","COMISARIA 43 HUGUA ÑARO","-57.41699","-25.51079","-6391629.804176557","-2938614.8421172495"
"14","CANINDEYU","01","SALTO DEL GUAIRA","COMISARIA 16 PUERTO ADELA","-54.38634","-24.48416","POINT (-6054259.701389345 -2812516.7512797997)","14","CANINDEYU","01","SALTO DEL GUAIRA","COMISARIA 16 PUERTO ADELA","-54.38634","-24.48416","-6054259.701389345","-2812516.7512797997"
"10","ALTO PARANA","06","ITAKYRY","PUESTO POLICIAL 14 ACARAY COSTA ITAKYRY","-55.0474","-25.12806","POINT (-6127848.234373185 -2891481.9292498054)","10","ALTO PARANA","06","ITAKYRY","PUESTO POLICIAL 14 ACARAY COSTA ITAKYRY","-55.0474","-25.12806","-6127848.234373185","-2891481.9292498054"
"02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","SUB COMISARIA Nº 28 ÑANDEJARA","-56.7173","-24.30974","POINT (-6313741.197814896 -2791197.42272801)","02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","SUB COMISARIA Nº 28 ÑANDEJARA","-56.7173","-24.30974","-6313741.197814896","-2791197.42272801"
"01","CONCEPCION","01","CONCEPCION","SUB COMISARIA N° 1 CHACO I","-57.46388","-23.40775","POINT (-6396850.359413298 -2681403.947070835)","01","CONCEPCION","01","CONCEPCION","SUB COMISARIA N° 1 CHACO I","-57.46388","-23.40775","-6396850.359413298","-2681403.947070835"
"01","CONCEPCION","01","CONCEPCION","PUESTO POLICIAL N° 31 POTRERO ROMERO","-57.37867","-23.34711","POINT (-6387364.421812668 -2674049.5974145285)","01","CONCEPCION","01","CONCEPCION","PUESTO POLICIAL N° 31 POTRERO ROMERO","-57.37867","-23.34711","-6387364.421812668","-2674049.5974145285"
"05","CAAGUAZU","01","CORONEL OVIEDO","SUB COMISARIA N° 8 - YUQUYTY","-56.47833","-25.31006","POINT (-6287138.481347011 -2913876.785960182)","05","CAAGUAZU","01","CORONEL OVIEDO","SUB COMISARIA N° 8 - YUQUYTY","-56.47833","-25.31006","-6287138.481347011","-2913876.785960182"
"11","CENTRAL","05","ITA","PUESTO POLICIAL","-57.37456","-25.4657","POINT (-6386907.174753124 -2933054.272421729)","11","CENTRAL","05","ITA","PUESTO POLICIAL","-57.37456","-25.4657","-6386907.174753124","-2933054.272421729"
"07","ITAPUA","01","ENCARNACION","COMISARIA 37 SAN ANTONIO YPECURU","-55.88823","-27.28405","POINT (-6221449.066981248 -3159004.605382909)","07","ITAPUA","01","ENCARNACION","COMISARIA 37 SAN ANTONIO YPECURU","-55.88823","-27.28405","-6221449.066981248","-3159004.605382909"
"09","PARAGUARI","08","MBUYAPEY","PUESTO POLICIAL N° 20 ÑU APUA","-56.75324","-26.12981","POINT (-6317741.931211251 -3015167.804491755)","09","PARAGUARI","08","MBUYAPEY","PUESTO POLICIAL N° 20 ÑU APUA","-56.75324","-26.12981","-6317741.931211251","-3015167.804491755"
"00","ASUNCION","00","ASUNCION","COMISARIA 12MA METROPOLITANA","-57.58055","-25.25971","POINT (-6409837.785847973 -2907678.6235152255)","00","ASUNCION","00","ASUNCION","COMISARIA 12MA METROPOLITANA","-57.58055","-25.25971","-6409837.785847973","-2907678.6235152255"
"03","CORDILLERA","12","MBOCAYATY DEL YHAGUY","DESTACAMENTO POLICIAL 3 RIO NEGRO","-56.74554","-25.26246","POINT (-6316885.148434243 -2908016.604220579)","03","CORDILLERA","12","MBOCAYATY DEL YHAGUY","DESTACAMENTO POLICIAL 3 RIO NEGRO","-56.74554","-25.26246","-6316885.148434243","-2908016.604220579"
"00","ASUNCION","00","ASUNCION","COMISARIA 17MA - DE MUJERES - TRINIDAD","-57.58014","-25.25925","POINT (-6409792.302191867 -2907621.455081699)","00","ASUNCION","00","ASUNCION","COMISARIA 17MA - DE MUJERES - TRINIDAD","-57.58014","-25.25925","-6409792.302191867","-2907621.455081699"
"10","ALTO PARANA","06","ITAKYRY","COMISARIA 18 ITAIPYTE","-54.97719","-25.0539","POINT (-6120032.370549644 -2882366.292773447)","10","ALTO PARANA","06","ITAKYRY","COMISARIA 18 ITAIPYTE","-54.97719","-25.0539","-6120032.370549644","-2882366.292773447"
"07","ITAPUA","01","ENCARNACION","COMISARIA 34 CERRITO DR ESCULIES","-55.88577","-27.17869","POINT (-6221175.22541057 -3145814.547120543)","07","ITAPUA","01","ENCARNACION","COMISARIA 34 CERRITO DR ESCULIES","-55.88577","-27.17869","-6221175.22541057","-3145814.547120543"
"14","CANINDEYU","04","VILLA YGATIM","PUESTO POLICIAL N° 3 YBY PYTA","-55.38666","-24.34875","POINT (-6165614.719211269 -2795963.1308593177)","14","CANINDEYU","04","VILLA YGATIM","PUESTO POLICIAL N° 3 YBY PYTA","-55.38666","-24.34875","-6165614.719211269","-2795963.1308593177"
"11","CENTRAL","04","GUARAMBARE","SUB COMISARIA NUEVA ESPERANZA","-57.42659","-25.47035","POINT (-6392698.749548579 -2933628.389691516)","11","CENTRAL","04","GUARAMBARE","SUB COMISARIA NUEVA ESPERANZA","-57.42659","-25.47035","-6392698.749548579","-2933628.389691516"
"07","ITAPUA","01","ENCARNACION","COMISARIA 34 STO DOMINGO","-55.94227","-27.25658","POINT (-6227464.824687196 -3155564.973410809)","07","ITAPUA","01","ENCARNACION","COMISARIA 34 STO DOMINGO","-55.94227","-27.25658","-6227464.824687196","-3155564.973410809"
"00","ASUNCION","00","ASUNCION","COMISARIA 20MA METROPOLITANA","-57.59666","-25.26557","POINT (-6411630.939396312 -2908399.779524252)","00","ASUNCION","00","ASUNCION","COMISARIA 20MA METROPOLITANA","-57.59666","-25.26557","-6411630.939396312","-2908399.779524252"
"07","ITAPUA","01","ENCARNACION","COMISARIA 67 ITA ANGU'A","-55.84176","-27.25347","POINT (-6216276.627158734 -3155175.1594635886)","07","ITAPUA","01","ENCARNACION","COMISARIA 67 ITA ANGU'A","-55.84176","-27.25347","-6216276.627158734","-3155175.1594635886"
"05","CAAGUAZU","02","CAAGUAZU","PUESTO POLICIAL","-55.96518","-25.46519","POINT (-6230015.858261822 -2932991.4377863617)","05","CAAGUAZU","02","CAAGUAZU","PUESTO POLICIAL","-55.96518","-25.46519","-6230015.858261822","-2932991.4377863617"
